Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
117,-2572600,0,0,0,0,0,0,05,1,0,0
118,-2572560,0,0,0,0,0,0,05,0,0,0
119,-2572520,0,0,0,0,0,0,05,1,0,0
120,-2572480,0,0,0,0,0,0,05,0,0,0
121,-2572440,0,0,0,0,0,0,05,1,0,0
122,-2572400,0,0,0,0,0,0,05,0,0,0
123,-2572360,0,0,0,0,0,0,05,1,0,0
124,-2572320,0,0,0,0,0,0,05,0,0,0
125,-2572280,0,0,0,0,0,0,05,1,0,0
126,-2572240,0,0,0,0,0,0,05,0,0,0
127,-2572200,0,0,0,0,0,0,05,1,0,0
128,-2572160,0,0,0,0,0,0,05,0,0,0
129,-2572120,0,0,0,0,0,0,05,1,0,0
130,-2572080,0,0,0,0,0,0,05,0,0,0
131,-2572040,0,0,0,0,0,0,05,1,0,0
132,-2572000,0,0,0,0,0,0,05,0,0,0
133,-2571960,0,0,0,0,0,0,05,1,0,0
134,-2571920,0,0,0,0,0,0,05,0,0,0
135,-2571880,0,0,0,0,0,0,05,1,0,0
136,-2571840,0,0,0,0,0,0,05,0,0,0
137,-2571800,0,0,0,0,0,0,05,1,0,0
138,-2571760,0,0,0,0,0,0,05,0,0,0
139,-2571720,0,0,0,0,0,0,05,1,0,0
140,-2571680,0,0,0,0,0,0,05,0,0,0
141,-2571640,0,0,0,0,0,0,05,1,0,0
142,-2571600,0,0,0,0,0,0,05,0,0,0
143,-2571560,0,0,0,0,0,0,05,1,0,0
144,-2571520,0,0,0,0,0,0,05,0,0,0
145,-2571480,0,0,0,0,0,0,05,1,0,0
146,-2571440,0,0,0,0,0,0,05,0,0,0
147,-2571400,0,0,0,0,0,0,05,1,0,0
148,-2571360,0,0,0,0,0,0,05,0,0,0
149,-2571320,0,0,0,0,0,0,05,1,0,0
150,-2571280,0,0,0,0,0,0,05,0,0,0
151,-2571240,0,0,0,0,0,0,05,1,0,0
152,-2571200,0,0,0,0,0,0,05,0,0,0
153,-2571160,0,0,0,0,0,0,05,1,0,0
154,-2571120,0,0,0,0,0,0,05,0,0,0
155,-2571080,0,0,0,0,0,0,05,1,0,0
