Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
0,-3870,0,1,0,00,0,0,0,0,0,0
1,-3840,0,1,1,00,0,0,0,0,0,0
2,-3800,0,1,0,00,0,0,0,0,0,0
3,-3760,0,1,1,00,0,0,0,0,0,0
4,-3720,0,1,0,00,0,0,0,0,0,0
5,-3680,0,1,1,00,0,0,0,0,0,0
6,-3640,0,1,0,00,0,0,0,0,0,0
7,-3620,0,0,0,00,0,0,0,0,0,0
8,-3600,0,0,1,00,0,0,0,0,0,0
9,-3560,0,0,0,00,0,0,0,0,0,0
10,-3520,0,0,1,00,0,0,0,0,0,0
11,-3480,0,0,0,00,0,0,0,0,0,0
12,-3440,0,0,1,00,0,0,0,0,0,0
13,-3400,0,0,0,00,0,0,0,0,0,0
14,-3360,0,0,1,00,0,0,0,0,0,0
15,-3320,0,0,0,00,0,0,0,0,0,0
16,-3280,0,0,1,00,0,0,0,0,0,0
17,-3240,0,0,0,00,0,0,0,0,0,0
18,-3200,0,0,1,00,0,0,0,0,0,0
19,-3160,0,0,0,00,0,0,0,0,0,0
20,-3120,0,0,1,00,0,0,0,0,0,0
21,-3080,0,0,0,00,0,0,0,0,0,0
22,-3040,0,0,1,00,0,0,0,0,0,0
23,-3000,0,0,0,00,0,0,0,0,0,0
24,-2960,0,0,1,00,0,0,0,0,0,0
25,-2920,0,0,0,00,0,0,0,0,0,0
26,-2880,0,0,1,00,0,0,0,0,0,0
27,-2840,0,0,0,00,0,0,0,0,0,0
28,-2800,0,0,1,00,0,0,0,0,0,0
29,-2760,0,0,0,00,0,0,0,0,0,0
30,-2720,0,0,1,00,0,0,0,0,0,0
31,-2680,0,0,0,00,0,0,0,0,0,0
32,-2640,0,0,1,00,0,0,0,0,0,0
33,-2600,0,0,0,00,0,0,0,0,0,0
34,-2590,0,1,0,00,0,0,0,0,0,0
35,-2560,0,1,1,00,0,0,0,0,0,0
36,-2520,0,1,0,00,0,0,0,0,0,0
37,-2480,0,1,1,00,0,0,0,0,0,0
38,-2440,0,1,0,00,0,0,0,0,0,0
39,-2400,0,1,1,00,0,0,0,0,0,0
40,-2360,0,1,0,00,0,0,0,0,0,0
41,-2320,0,1,1,00,0,0,0,0,0,0
42,-2280,0,1,0,00,0,0,0,0,0,0
43,-2240,0,1,1,00,0,0,0,0,0,0
44,-2200,0,1,0,00,0,0,0,0,0,0
45,-2160,0,1,1,00,0,0,0,0,0,0
46,-2120,0,1,0,00,0,0,0,0,0,0
47,-2080,0,1,1,00,0,0,0,0,0,0
48,-2040,0,1,0,00,0,0,0,0,0,0
49,-2000,0,1,1,00,0,0,0,0,0,0
50,-1960,0,1,0,00,0,0,0,0,0,0
