Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
124,690,0,0,0,00,0,0,0,0,0,0
125,720,0,0,1,00,0,0,0,0,0,0
126,770,0,0,0,00,0,0,0,0,0,0
127,800,0,0,1,00,0,0,0,0,0,0
128,850,0,0,0,00,0,0,0,0,0,0
129,880,0,0,1,00,0,0,0,0,0,0
130,930,0,0,0,00,0,0,0,0,0,0
131,960,0,0,1,00,0,0,0,0,0,0
132,1010,0,0,0,00,0,0,0,0,0,0
133,1040,0,0,1,00,0,0,0,0,0,0
134,1090,0,0,0,00,0,0,0,0,0,0
135,1120,0,0,1,00,0,0,0,0,0,0
136,1170,0,0,0,00,0,0,0,0,0,0
137,1180,0,0,0,00,1,0,0,1,0,0
138,1190,0,0,0,00,1,1,0,1,1,0
139,1200,0,0,1,00,1,1,1,1,1,1
140,1250,0,0,0,00,1,1,1,1,1,1
141,1270,0,0,0,00,0,1,1,0,1,1
142,1280,0,0,1,00,0,0,0,0,0,0
143,1330,0,0,0,00,0,0,0,0,0,0
144,1340,0,0,0,00,1,0,0,1,0,0
145,1350,0,0,0,00,1,1,0,1,1,0
146,1360,0,0,1,00,1,1,1,1,1,1
147,1410,0,0,0,00,1,1,1,1,1,1
148,1430,0,0,0,00,0,1,1,0,1,1
149,1440,0,0,1,00,0,0,0,0,0,0
150,1490,0,0,0,00,0,0,0,0,0,0
151,1500,0,0,0,00,1,0,0,1,0,0
152,1510,0,0,0,00,1,1,0,1,1,0
153,1520,0,0,1,00,1,1,1,1,1,1
154,1570,0,0,0,00,1,1,1,1,1,1
155,1590,0,0,0,00,0,1,1,0,1,1
156,1600,0,0,1,00,0,0,0,0,0,0
157,1650,0,0,0,00,0,0,0,0,0,0
158,1660,0,0,0,00,1,0,0,1,0,0
159,1670,0,0,0,00,1,1,0,1,1,0
160,1680,0,0,1,00,1,1,1,1,1,1
161,1730,0,0,0,00,1,1,1,1,1,1
162,1750,0,0,0,00,0,1,1,0,1,1
163,1760,0,0,1,00,0,0,0,0,0,0
164,1810,0,0,0,00,0,0,0,0,0,0
165,1840,0,0,1,00,0,0,0,0,0,0
166,1890,0,0,0,00,0,0,0,0,0,0
167,1920,0,0,1,00,0,0,0,0,0,0
168,1970,0,0,0,00,0,0,0,0,0,0
169,2000,0,0,1,00,0,0,0,0,0,0
170,2050,0,0,0,00,0,0,0,0,0,0
171,2080,0,0,1,00,0,0,0,0,0,0
172,2130,0,0,0,00,0,0,0,0,0,0
173,2160,0,0,1,00,0,0,0,0,0,0
174,2210,0,0,0,00,0,0,0,0,0,0
175,2240,0,0,1,00,0,0,0,0,0,0
176,2290,0,0,0,00,0,0,0,0,0,0
177,2320,0,0,1,00,0,0,0,0,0,0
178,2370,0,0,0,00,0,0,0,0,0,0
179,2400,0,0,1,00,0,0,0,0,0,0
180,2450,0,0,0,00,0,0,0,0,0,0
181,2460,0,0,0,00,1,0,0,1,0,0
182,2470,0,0,0,00,1,1,0,1,1,0
183,2480,0,0,1,00,1,1,1,1,1,1
184,2530,0,0,0,00,1,1,1,1,1,1
185,2550,0,0,0,00,0,1,1,0,1,1
186,2560,0,0,1,00,0,0,0,0,0,0
187,2610,0,0,0,00,0,0,0,0,0,0
188,2620,0,0,0,00,1,0,0,1,0,0
189,2630,0,0,0,00,1,1,0,1,1,0
190,2640,0,0,1,00,1,1,1,1,1,1
191,2690,0,0,0,00,1,1,1,1,1,1
192,2710,0,0,0,00,0,1,1,0,1,1
193,2720,0,0,1,00,0,0,0,0,0,0
194,2770,0,0,0,00,0,0,0,0,0,0
