Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
102,-2574190,0,0,0,0,0,0,05,1,0,0
103,-2574150,0,0,0,0,0,0,05,0,0,0
104,-2574110,0,0,0,0,0,0,05,1,0,0
105,-2574070,0,0,0,0,0,0,05,0,0,0
106,-2574030,0,0,0,0,0,0,05,1,0,0
107,-2573990,0,0,0,0,0,0,05,0,0,0
108,-2573950,0,0,0,0,0,0,05,1,0,0
109,-2573910,0,0,0,0,0,0,05,0,0,0
110,-2573870,0,0,0,0,0,0,05,1,0,0
111,-2573830,0,0,0,0,0,0,05,0,0,0
112,-2573790,0,0,0,0,0,0,05,1,0,0
113,-2573750,0,0,0,0,0,0,05,0,0,0
114,-2573710,0,0,0,0,0,0,05,1,0,0
115,-2573670,0,0,0,0,0,0,05,0,0,0
116,-2573630,0,0,0,0,0,0,05,1,0,0
117,-2573590,0,0,0,0,0,0,05,0,0,0
118,-2573550,0,0,0,0,0,0,05,1,0,0
119,-2573510,0,0,0,0,0,0,05,0,0,0
120,-2573470,0,0,0,0,0,0,05,1,0,0
121,-2573430,0,0,0,0,0,0,05,0,0,0
122,-2573390,0,0,0,0,0,0,05,1,0,0
123,-2573350,0,0,0,0,0,0,05,0,0,0
124,-2573310,0,0,0,0,0,0,05,1,0,0
125,-2573270,0,0,0,0,0,0,05,0,0,0
126,-2573230,0,0,0,0,0,0,05,1,0,0
127,-2573190,0,0,0,0,0,0,05,0,0,0
128,-2573150,0,0,0,0,0,0,05,1,0,0
129,-2573110,0,0,0,0,0,0,05,0,0,0
130,-2573070,0,0,0,0,0,0,05,1,0,0
131,-2573030,0,0,0,0,0,0,05,0,0,0
132,-2572990,0,0,0,0,0,0,05,1,0,0
133,-2572950,0,0,0,0,0,0,05,0,0,0
134,-2572910,0,0,0,0,0,0,05,1,0,0
135,-2572870,0,0,0,0,0,0,05,0,0,0
136,-2572830,0,0,0,0,0,0,05,1,0,0
137,-2572790,0,0,0,0,0,0,05,0,0,0
138,-2572750,0,0,0,0,0,0,05,1,0,0
139,-2572710,0,0,0,0,0,0,05,0,0,0
140,-2572670,0,0,0,0,0,0,05,1,0,0
141,-2572630,0,0,0,0,0,0,05,0,0,0
142,-2572590,0,0,0,0,0,0,05,1,0,0
143,-2572550,0,0,0,0,0,0,05,0,0,0
144,-2572510,0,0,0,0,0,0,05,1,0,0
145,-2572470,0,0,0,0,0,0,05,0,0,0
146,-2572430,0,0,0,0,0,0,05,1,0,0
147,-2572390,0,0,0,0,0,0,05,0,0,0
148,-2572350,0,0,0,0,0,0,05,1,0,0
149,-2572310,0,0,0,0,0,0,05,0,0,0
150,-2572270,0,0,0,0,0,0,05,1,0,0
151,-2572230,0,0,0,0,0,0,05,0,0,0
152,-2572190,0,0,0,0,0,0,05,1,0,0
153,-2572150,0,0,0,0,0,0,05,0,0,0
154,-2572110,0,0,0,0,0,0,05,1,0,0
155,-2572070,0,0,0,0,0,0,05,0,0,0
156,-2572030,0,0,0,0,0,0,05,1,0,0
157,-2571990,0,0,0,0,0,0,05,0,0,0
158,-2571950,0,0,0,0,0,0,05,1,0,0
159,-2571910,0,0,0,0,0,0,05,0,0,0
160,-2571870,0,0,0,0,0,0,05,1,0,0
161,-2571830,0,0,0,0,0,0,05,0,0,0
162,-2571790,0,0,0,0,0,0,05,1,0,0
163,-2571750,0,0,0,0,0,0,05,0,0,0
164,-2571710,0,0,0,0,0,0,05,1,0,0
165,-2571670,0,0,0,0,0,0,05,0,0,0
166,-2571630,0,0,0,0,0,0,05,1,0,0
167,-2571590,0,0,0,0,0,0,05,0,0,0
168,-2571550,0,0,0,0,0,0,05,1,0,0
169,-2571510,0,0,0,0,0,0,05,0,0,0
170,-2571470,0,0,0,0,0,0,05,1,0,0
171,-2571430,0,0,0,0,0,0,05,0,0,0
172,-2571390,0,0,0,0,0,0,05,1,0,0
173,-2571350,0,0,0,0,0,0,05,0,0,0
174,-2571310,0,0,0,0,0,0,05,1,0,0
175,-2571270,0,0,0,0,0,0,05,0,0,0
176,-2571230,0,0,0,0,0,0,05,1,0,0
177,-2571190,0,0,0,0,0,0,05,0,0,0
178,-2571150,0,0,0,0,0,0,05,1,0,0
179,-2571110,0,0,0,0,0,0,05,0,0,0
180,-2571070,0,0,0,0,0,0,05,1,0,0
181,-2571030,0,0,0,0,0,0,05,0,0,0
182,-2570990,0,0,0,0,0,0,05,1,0,0
183,-2570950,0,0,0,0,0,0,05,0,0,0
184,-2570910,0,0,0,0,0,0,05,1,0,0
185,-2570870,0,0,0,0,0,0,05,0,0,0
186,-2570830,0,0,0,0,0,0,05,1,0,0
187,-2570790,0,0,0,0,0,0,05,0,0,0
188,-2570750,0,0,0,0,0,0,05,1,0,0
189,-2570710,0,0,0,0,0,0,05,0,0,0
190,-2570670,0,0,0,0,0,0,05,1,0,0
191,-2570630,0,0,0,0,0,0,05,0,0,0
192,-2570590,0,0,0,0,0,0,05,1,0,0
193,-2570550,0,0,0,0,0,0,05,0,0,0
194,-2570510,0,0,0,0,0,0,05,1,0,0
195,-2570470,0,0,0,0,0,0,05,0,0,0
196,-2570430,0,0,0,0,0,0,05,1,0,0
197,-2570390,0,0,0,0,0,0,05,0,0,0
198,-2570350,0,0,0,0,0,0,05,1,0,0
199,-2570310,0,0,0,0,0,0,05,0,0,0
200,-2570270,0,0,0,0,0,0,05,1,0,0
201,-2570230,0,0,0,0,0,0,05,0,0,0
202,-2570190,0,0,0,0,0,0,05,1,0,0
203,-2570150,0,0,0,0,0,0,05,0,0,0
204,-2570110,0,0,0,0,0,0,05,1,0,0
205,-2570070,0,0,0,0,0,0,05,0,0,0
206,-2570030,0,0,0,0,0,0,05,1,0,0
207,-2569990,0,0,0,0,0,0,05,0,0,0
208,-2569950,0,0,0,0,0,0,05,1,0,0
209,-2569910,0,0,0,0,0,0,05,0,0,0
210,-2569870,0,0,0,0,0,0,05,1,0,0
211,-2569830,0,0,0,0,0,0,05,0,0,0
212,-2569790,0,0,0,0,0,0,05,1,0,0
213,-2569750,0,0,0,0,0,0,05,0,0,0
214,-2569710,0,0,0,0,0,0,05,1,0,0
215,-2569670,0,0,0,0,0,0,05,0,0,0
216,-2569630,0,0,0,0,0,0,05,1,0,0
217,-2569590,0,0,0,0,0,0,05,0,0,0
218,-2569550,0,0,0,0,0,0,05,1,0,0
219,-2569510,0,0,0,0,0,0,05,0,0,0
220,-2569470,0,0,0,0,0,0,05,1,0,0
221,-2569430,0,0,0,0,0,0,05,0,0,0
222,-2569390,0,0,0,0,0,0,05,1,0,0
223,-2569350,0,0,0,0,0,0,05,0,0,0
224,-2569310,0,0,0,0,0,0,05,1,0,0
225,-2569270,0,0,0,0,0,0,05,0,0,0
226,-2569230,0,0,0,0,0,0,05,1,0,0
227,-2569190,0,0,0,0,0,0,05,0,0,0
228,-2569150,0,0,0,0,0,0,05,1,0,0
229,-2569110,0,0,0,0,0,0,05,0,0,0
230,-2569070,0,0,0,0,0,0,05,1,0,0
231,-2569040,0,0,0,0,0,0,07,1,0,0
232,-2569030,0,0,0,0,0,0,06,0,0,0
233,-2568990,0,0,0,0,0,0,06,1,0,0
234,-2568950,0,0,0,0,0,0,06,0,0,0
235,-2568910,0,0,0,0,0,0,06,1,0,0
236,-2568870,0,0,0,0,0,0,06,0,0,0
237,-2568830,0,0,0,0,0,0,06,1,0,0
238,-2568790,0,0,0,0,0,0,06,0,0,0
239,-2568750,0,0,0,0,0,0,06,1,0,0
240,-2568710,0,0,0,0,0,0,06,0,0,0
241,-2568670,0,0,0,0,0,0,06,1,0,0
242,-2568630,0,0,0,0,0,0,06,0,0,0
243,-2568590,0,0,0,0,0,0,06,1,0,0
244,-2568550,0,0,0,0,0,0,06,0,0,0
245,-2568530,0,0,0,0,0,0,06,0,0,1
246,-2568510,0,0,0,0,0,0,06,1,0,1
247,-2568470,0,0,0,0,0,0,06,0,0,1
248,-2568430,0,0,0,0,0,0,06,1,0,1
249,-2568390,0,0,0,0,0,0,06,0,0,1
250,-2568350,0,0,0,0,0,0,06,1,0,1
251,-2568310,0,0,0,0,0,0,06,0,0,1
252,-2568270,0,0,0,0,0,0,06,1,0,1
253,-2568230,0,0,0,0,0,0,06,0,0,1
254,-2568200,0,0,0,0,0,0,06,0,0,0
255,-2568190,0,0,0,0,0,0,06,1,0,0
256,-2568150,0,0,0,0,0,0,06,0,0,0
